ID;SEXO;EDAD;GRADO_INSTRUCCION;GRADO_OCUPACIONAL;TIPO_CARGO;AÑOS_TRABAJANDO;GERENCIA;AREA;CREDIBILIDAD;RESPETO;IMPARCIALIDAD;ORGULLO;CAMARADERIA;GENERAL;CALIFICACION;SUGERENCIA;TARGET
371;Femenino;de 39 a 45 años;Secundaria o menor;Auxiliar Limpieza (Atención al Cliente);Trabajador;de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.46875;4.5;4.166666667;4.333333333;4.6;5;Cumplen con el pago puntual. Te brindan mucha seguridad. Es una empresa muy unida.;Una sala de fumadores.;PROMOTOR
372;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar Limpieza (Atención al Cliente);Trabajador;de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.5;3.133333333;3.125;4.611111111;4.45;2;Todos somos un gran equipo, nos sabemos apoyar en el campo laboral.;Ser reconocidos económicamente, darnos un buen salario, nos pagan el sueldo mínimo más 50 soles.;NEUTRO
373;Masculino;22 años o menos;Instituto superior o técnico incompleto;Auxiliar Limpieza (Atención al Cliente);Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);4.0625;4.3;4.416666667;4.555555556;4.75;5;Claro, el orden con que se maneja la empresa y siempre tratando de mejorar cada día.;No indica;PROMOTOR
374;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Auxiliar Limpieza (Atención al Cliente);Trabajador;de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.375;4.366666667;3.958333333;4.611111111;4.7;5;El ambiente de trabajo, trabajo en equipo, respeto que hay entre todos en el casino.;Aumento de salario para los trabajadores ya que tenemos una familia  y queremos darle lo mejor de nosotros como familia y trabajadores.;PROMOTOR
375;Femenino;de 39 a 45 años;Secundaria o menor;Auxiliar Limpieza (Atención al Cliente);Trabajador;de 4 a 6 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.28125;3.166666667;2.375;4;3.85;4;Su preocupación en sus trabajadores, en el sistema de pagos y sus beneficios.;Que reconozcan a las personas antiguas en ascender a otros puestos por la edad no podemos ascender a otros puestos y que hayan puestos para poder ascender.;NEUTRO
376;Masculino;22 años o menos;Secundaria o menor;Auxiliar Limpieza (Atención al Cliente);Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);2.75;3.033333333;3.416666667;3.5;4.15;4.5;La organización y el prestigio.;En facilitar a los jovenes que quieren estudiar en ponerles un solo turno en el área de trabajo para así poder estudiar y mejorar.;NEUTRO
377;Femenino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar Limpieza (Atención al Cliente);Trabajador;de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.15625;4.733333333;4.791666667;4.722222222;4.85;5;Porque te brindan confianza, te apoyan y te escuchan, te hacen sentir que estás en familia y no te ignoran.;Bueno yo creo que las propinas de nosotras las operarias debería ser considerable porque es una vez al mes y no contribuye a que alcance.;PROMOTOR
378;Femenino;de 39 a 45 años;Universitaria incompleta;Auxiliar Limpieza (Atención al Cliente);Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);4.59375;4.7;4.083333333;4.444444444;4.35;5;La educación, el buen trato y la atención que se siente hacen que te sientas en familia y sentirte importante para la empresa.;Mejoraría el compañerismo dentro de las áreas.;PROMOTOR
379;Femenino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar Limpieza (Atención al Cliente);Trabajador;de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.28125;3.1;2.958333333;2.888888889;3.1;4;Es un lugar seguro. Pagan puntualmente. Se tiene todos los seguros ¡Quiero seguir trabajando aquí si Dios lo permite y así será!;Dar la oportunidad de subir otras áreas en caso de operarias sin límite de edad. Dar la oportunidad de estudiar (un horario fijo).;NEUTRO
380;Femenino;de 31 a 38 años;Instituto superior o técnico incompleto;Auxiliar Limpieza (Atención al Cliente);Trabajador;de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);2.8125;3.233333333;2.875;3.777777778;4;5;Si, las personas como jefaturas te tratan muy bien y las celebraciones y atenciones para con nosotros. Gracias por eso.;Para mí que no haya límite de edad para postular a otras áreas ya que todos somos competentes y capaces, pero a veces aquí los años no nos ayuda a surgir.;NEUTRO
381;Masculino;de 23 a 30 años;Universitaria incompleta;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);4.75;4.566666667;4.916666667;4.611111111;4.5;5;Lo que hace especial a Atlantic City es el compañerismo y comunicación efectiva entre jefaturas y trabajadores de distintas áreas.;No indica;PROMOTOR
382;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);3.90625;4.2;3.875;3.777777778;4.8;5;El buen trato y la predisposición para apoyar un empleado nuevo.;La comida para el personal debería ser gratis. Por demás todo bien.;PROMOTOR
383;Femenino;de 39 a 45 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.8125;3.766666667;3.458333333;4.055555556;3.9;4;Con el compañerismo que hay entre nosotras y los beneficios que se brindan al personal.;Que aumenten el sueldo porque siento que mi trabajo lo merece.;NEUTRO
384;Masculino;22 años o menos;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);4.03125;4.166666667;4.291666667;4.333333333;4.35;2;Es cómodo el ambiente, es acogedor.;Break, horarios.;NEUTRO
385;Masculino;22 años o menos;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.4375;4.4;4.333333333;4.611111111;4.5;5;Los lazos de amistad que se forman en esta empresa, la unión es todo aquí en Atlantic City.;Muchas más oportunidades de desarrollo laboral.;PROMOTOR
386;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.3125;4.466666667;4;4.444444444;4.5;4;La puntualidad en el pago, la atención para los trabajadores, los reconocimientos, fechas especiales, siempre tratando de mantener al trabajador contento de pertenecer a esta familia.;Implementar la capacitación en cursos básicos para un mejor servicio ya sea en clases de inglés, oratoria, liderazgo. Porque ganas de crecer tenemos todos, solo que a veces nos falta tiempo y dinero.;PROMOTOR
387;Femenino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);4.625;4.266666667;4.208333333;4.555555556;4.45;4.5;Atlantic City es un buen lugar para trabajar porque el ambiente es agradable, gracias a que la gran mayoría de colaboradores llegan con buena actitud al trabajo y el trato de los jefes también es amable. Las consideraciones de la empresa también hacen un buen lugar para trabajar.;Cambiaría el tiempo de almuerzo creo que 45 minutos no es suficiente, almorzar, asearse y lo demás no alcanza en ese lapso de tiempo. Yo entro estresada porque siempre corro después de almuerzo, eso creo que le pasa a la mayoría de las chicas. También sería bueno que consideren no botar la comida y en ves de eso invitarla a los colaboradores.;PROMOTOR
388;Masculino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.6875;3.733333333;3.583333333;4.111111111;4.25;5;Que siempre tenemos la mejor manera de tratar al cliente y a los colaboradores. Y por su gran infraestructura.;Que algunas supervisoras dejen ese lado hipócrita al momento de tratar a los colaboradores.;PROMOTOR
389;Femenino;de 39 a 45 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;de 7 a 9 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.3125;3.933333333;3.708333333;3.777777778;3.85;5;Ser una gran empresa con visión a ser cada dia mejor, con buena infraestructura y un lugar agradable donde trabajar.;Mejoraría si tuviésemos la oportunidad de contar con movilidad que nos lleven a nuestro hogar a los trabajadores que hacemos el horario nocturno.;NEUTRO
390;Femenino;de 39 a 45 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;de 10 a 15 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.875;3.866666667;3.916666667;4.333333333;4.1;5;En el trato que se nos brinda, en algunos casos la preocupación por los trabajadores cuando afrontan un problema.;Seguir brindando oportunidades de crecimiento sobre todo al personal que está más de 10 años y desea superarse más.;PROMOTOR
391;Masculino;de 23 a 30 años;Secundaria o menor;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);2.8125;3.533333333;2.875;3.833333333;3.4;3.5;Es el mejor casino de Lima.;Los jefes de sala y de todas las áreas. Tener más comunicación con su personal y hacer reuniones mensuales para saber como se encuentra la gente.;NEUTRO
392;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);3.4375;4.033333333;3.958333333;3.777777778;4.1;4;No indica;No indica;NEUTRO
393;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;de 10 a 15 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.625;3.033333333;3;3.388888889;3.65;4.5;Las probabilidades de crecer profesionalmente.;Que las posibilidades y reconocimientos sean para todos las áreas sin excepción, no solo a ciertas áreas sino en general. Así todos felicitarían a todos sin conocernos casi por ser diferentes áreas o turnos, Ejemplos los charlies, operarias, estuars y en general.;NEUTRO
394;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;de 4 a 6 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.09375;3.133333333;2.833333333;3.333333333;3.55;4;Su infraestructura.;Aumentar sueldo.;NEUTRO
395;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;de 7 a 9 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.125;2.9;2.875;3.222222222;3.1;4;Bueno, si la infraestructura del local es seguro en caso  de sismo. A pesar de todo hay muchos compañeros que son muy buenas personas.;Lo que cambiaría es la parte de fumadores del local que dejan que clientes fumen en los pasadizos del local y eso es dañino para la salud, porque somos nosotros quienes son los perjudicados.;NEUTRO
396;Femenino;de 31 a 38 años;Instituto superior o técnico completo;Auxiliar (otros);Trabajador;de 4 a 6 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.84375;3.833333333;4.166666667;4.333333333;4.05;5;Me siento orgullosa de lo que hago aquí. Ser habilitadora me hace sentir con una gran responsabilidad. Gracias a la Sra. Fadhy Chiara por darme la oportunidad de ascender.;Darnos oportunidad de estudiar y tratar arreglos con los horarios para poder salir adelante. Creciendo para nuestra empresa querida!;PROMOTOR
397;Masculino;22 años o menos;Instituto superior o técnico incompleto;Auxiliar (otros);Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);5;5;5;5;5;5;Que es un gran lugar para trabajar.;Nada, porque es un gran lugar para trabajar.;PROMOTOR
398;Masculino;de 23 a 30 años;Instituto superior o técnico completo;Asistente Analista;Trabajador;menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);4.21875;4.166666667;4.375;4.333333333;4.35;5;No indica;No indica;PROMOTOR
399;Femenino;de 31 a 38 años;Universitaria incompleta;Asistente Analista;Trabajador;de 7 a 9 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.71875;4.166666667;4.708333333;4.666666667;4.55;4.5;La empresa brinda comodidad en sus ambientes al personal.;El apoyo solidario a otras áreas, se realicen a tiempo y consideren que es importante coordinar.;PROMOTOR
400;Masculino;de 31 a 38 años;Universitaria incompleta;Asistente Analista;Trabajador;de 7 a 9 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.4375;4.366666667;4.416666667;4.166666667;4.45;5;El material humano que tenemos con la camaradería que vivo en mi día a día es algo que no cambiaría jamás, es lo que nos hace únicos. Cierto, tenemos buenos líderes también.;No indica;PROMOTOR
401;Femenino;de 31 a 38 años;Instituto superior o técnico incompleto;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.6875;4.833333333;4.916666667;4.777777778;4.8;5;Te brinda todas las herramientas necesarias para realizar un buen trabajo de calidad. Tenemos una buena comunicación asertiva. Nos hacen sentir en familia.;Mejorar la comida del comedor en horas de amanecida, no importa que aumente el costo. Contar con un área especial para personas que estudian con computadoras para realizar trabajos en horas de break.;PROMOTOR
402;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.4375;4.633333333;4.333333333;4.277777778;4.65;5;Sí, el trabajo directamente con clientes y personal, hace divertido el trabajo.;Por las mañanas hay mucho personal que viene sin desayunar. Salen de casa 4:00am a 5:00am, para ingresar a las 7:00am Deberían vender desayuno en el comedor, creo que eso sería un gran detalle para el personal.;PROMOTOR
403;Femenino;de 31 a 38 años;Instituto superior o técnico incompleto;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.09375;3.833333333;4.166666667;4.333333333;4.1;5;Todos los beneficios adicionales, el pago a tiempo, la comunicación y el compañerismo.;Mejorar la comidad del comedor, a veces no está en buen estado.;PROMOTOR
404;Femenino;de 39 a 45 años;Universitaria incompleta;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.625;4.3;3.5;5;5;5;Trabajo en equipo, comunicación y el gran interés de los jefes por sus colaboradores. Siempre seremos el mejor.;Lo que cambiaría es que todos en general trabajan unidos a nivel de áreas. Reconocimientos a los trabajadores más antiguos.;PROMOTOR
405;Femenino;de 31 a 38 años;Secundaria o menor;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Operaciones;Atención al Cliente (SAC);5;4.966666667;4.958333333;5;5;5;Es un buen equipo de trabajo, que hace que uno se sienta en familia y por todo los buenos cambios que hemos tenido este 2015 por el departamento de Recursos Humanos. Sigan así.;Seguir siendo los mejores.;PROMOTOR
406;Femenino;de 31 a 38 años;Instituto superior o técnico incompleto;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.5625;4.533333333;4.541666667;4.666666667;4.5;5;El trabajar en equipo siempre viendo las mejores alternativas para sentirnos como en casa.;No indica;PROMOTOR
407;Femenino;de 31 a 38 años;Instituto superior o técnico incompleto;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.03125;3.8;4.041666667;4.555555556;4.45;5;No indica;No indica;PROMOTOR
408;Femenino;de 31 a 38 años;Instituto superior o técnico incompleto;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.1875;3.966666667;4.375;4.833333333;4;5;Además de la infraestructura que es única, ahora la atención que nos brindan los jefes es mucho más empática, nos escuchan, están pendientes de nosotros.;Lo único que cambiaría es que los jefe de sala no sean tan sarcásticos y muchas veces burlones cuando a veces nos equivocamos, después todo está muy bien.;PROMOTOR
409;Femenino;de 39 a 45 años;Instituto superior o técnico incompleto;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Operaciones;Atención al Cliente (SAC);3.3125;3.7;3.875;3.777777778;3.2;4.5;Si hoy en día se siente que a la empresa le interesa el ser humano que hay en cada colaborador, el ambiente es seguro, es más me gustaría serguir por muchos años más.;Que mejoren las oportunidades de ascensos: que por no tener estudios concluidos no nos puedan dar oportunidades. Que se reconosca nuestro trabajo o que nos den facilidades de estudio realizando un convenio con el trabajador para descuento por planilla sería genial. Mil gracias por realizar este tipo de encuestas.;NEUTRO
410;Femenino;de 31 a 38 años;Instituto superior o técnico incompleto;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 4 a 6 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.375;4.266666667;4.083333333;4.888888889;4.85;5;No indica;No indica;PROMOTOR
411;Femenino;de 23 a 30 años;Universitaria completa;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);3.8125;3.666666667;3.458333333;3.833333333;3.3;5;La gente nueva siempre te motiva y apoya y todos siemore te sonríen.;Que las personas con más años de experiencia tengan más ánimos de atender y apoyar a los demás.;NEUTRO
412;Femenino;de 31 a 38 años;Instituto superior o técnico completo;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);4;3.9;3.791666667;4.277777778;4;4;Los beneficios, convenios.;Preocuparse más del entorno de la persona, de que le puede ocurrir, cómo se siente. Como sugerencia me paraece que los descansos médicos no deberían hacer que se pierda el bono, porque he visto que muchas veces que por no perderlo vienen a trabajar mal, arriesgando su salud.;NEUTRO
413;Masculino;de 23 a 30 años;Instituto superior o técnico completo;Encargado;Jefaturas (Jefe, Supervisor, Encargados);menos de 1 año;Gerencia de Operaciones;Atención al Cliente (SAC);4.53125;4.3;4.666666667;4.666666667;4.3;4;El ser reconocidos por nuestro trabajo es muy gratificante.;Seguir reconociendo a los colaboradores por su buen desempeño.;PROMOTOR
414;Femenino;de 31 a 38 años;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Operaciones;Atención al Cliente (SAC);1.15625;1.333333333;1.083333333;1.166666667;1.1;1;Me siento como en casa.;Más capacitaciones.;DETRACTOR
415;Femenino;de 39 a 45 años;Instituto superior o técnico completo;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 4 a 6 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.8125;4.233333333;4.625;4.555555556;4.8;5;Su gente. Realmente en los mejores y malos momentos estan juntos!;La comunicación ha mejorado pero podemos hacerlo mejor, buscar que el personal operativo tenga acceso a la comunicación de primera mano.;PROMOTOR
416;Femenino;de 31 a 38 años;Instituto superior o técnico incompleto;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.15625;3.966666667;4.25;4.222222222;3.95;3;No indica;No indica;NEUTRO
417;Femenino;de 31 a 38 años;Secundaria o menor;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.3125;4.2;4.333333333;4.5;4.6;5;Atlantic City más que trabajo es una familia. Donde me siento súper bien, con jefes y compañeros humildes, quienes te enseñan. Gran trabajo en equipo.;Mejorar: desarrollar entre todos la buena comunicación, confianza. Con todo esto seguiremos llegando bastante lejos (ya lo tenemos, falta más punche entre todos).;PROMOTOR
418;Femenino;de 39 a 45 años;Instituto superior o técnico completo;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 1 a 3 años;Gerencia de Operaciones;Atención al Cliente (SAC);5;5;5;4.888888889;5;5;El trato. Se escucha la opinión de todos.;Que se tenga mayor consideración del horario de los operativos para los eventos que se realizan.;PROMOTOR
419;Femenino;de 46 años o más;Universitaria incompleta;Gerente / Sub Gerente;Gerencias (Directores, Gerentes);más de 15 años;Gerencia de Operaciones;Atención al Cliente (SAC);4.4375;4.7;4.875;4.666666667;5;5;Siempre ha sido una empresa con un interés genuino por los colaboradores.;Que sigamos en franco crecimiento como empresa y como colaboradores.;PROMOTOR
420;Masculino;de 46 años o más;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Operaciones;Servicios Generales;4.21875;4.4;4.208333333;4.722222222;4.65;5;La comodidad de sus instalaciones, la camaradería y en especial el apgo puntual de las remuneraciones.;Las preferencias y diferencias que a veces se hacen para agazajar a ciertos colaboradores.;PROMOTOR
421;Masculino;de 31 a 38 años;Secundaria o menor;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Operaciones;Servicios Generales;4.5625;4.566666667;4.458333333;4.666666667;4.5;5;No indica;No indica;PROMOTOR
422;Masculino;de 31 a 38 años;Secundaria o menor;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 1 a 3 años;Gerencia de Operaciones;Servicios Generales;4.78125;5;4.583333333;4.833333333;4.95;5;La manera en que todos los trabajadores se tratan es gratificante ver que eres importante para cada área. Somos una familia. Es nuestro segundo hogar.;En mi opinión personal es mi segunda casa y me siento orgulloso y alegre de laborar en esta empresa.;PROMOTOR
423;Masculino;de 46 años o más;Instituto superior o técnico completo;Encargado;Jefaturas (Jefe, Supervisor, Encargados);más de 15 años;Gerencia de Operaciones;Servicios Generales;3.75;4.1;4.291666667;4.333333333;4.15;5;"Es un lugar donde el trabajo de cada persona se confunde con una fiesta, yo estoy de fiesta todos los días. ""Has una fiesta de tu trabajo"".";En alguna parte del ingreso de la puerta Bolivar poner una computadora para que todo el personal sin excepción pueda acceder o expresarse.;PROMOTOR
424;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Asistente Servicios Generales;Trabajador;menos de 1 año;Gerencia de Operaciones;Servicios Generales;4.03125;4.2;3.916666667;4.222222222;3.8;4.5;La familia que somos, si no existiera el complejo de antigüedad.;El que los jefes se dejan llevar por los comentarios de los antiguos y vean más el desempeño del personal nuevo.;PROMOTOR
425;Masculino;de 46 años o más;Instituto superior o técnico completo;Asistente Servicios Generales;Trabajador;de 10 a 15 años;Gerencia de Operaciones;Servicios Generales;2.84375;2.933333333;2.041666667;3.666666667;2.75;5;Es una gran empresa.;"Así como se preocupan por crecer como empresa, también se preocupen por el personal, más interés para los trabajadores. ""Trata bien a los trabajadores que ellos tratarán bien a los clientes"".";NEUTRO
426;Masculino;de 31 a 38 años;Secundaria o menor;Asistente Servicios Generales;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Servicios Generales;3.6875;4.533333333;4;3.888888889;3.8;5;En que damos un buen servicio a nuestros clientes y día a día damos lo mejor para orientarlos.;Que los jefes de todas las áreas sean más solidarios con los colaboradores. Un saludo es un afecto de respeto.;PROMOTOR
427;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Asistente Servicios Generales;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Servicios Generales;4.40625;4.533333333;4.083333333;4.777777778;4.75;5;Es una familia donde podemos trabajar.;Uniformes para todos. Las boletas de pago puntuales.;PROMOTOR
428;Masculino;de 31 a 38 años;Secundaria o menor;Asistente Servicios Generales;Trabajador;de 7 a 9 años;Gerencia de Operaciones;Servicios Generales;4.0625;4.3;4.208333333;4.333333333;4.35;4.5;Como empresa sí porque cumple con todos los beneficios sociales.;Que todas las áreas sean tratadas igual (uniformes).;PROMOTOR
429;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Asistente Servicios Generales;Trabajador;menos de 1 año;Gerencia de Operaciones;Servicios Generales;4.09375;4.5;4.958333333;4.888888889;4.55;5;Sí, en especial me siento cómodo e importante. Atlantic City es un lugar de entretenimiento de lujo. No se compara a otros casinos. Para mí, tiene un nivel muy alto y sé que mucha gente piensa lo mismo.;Sí, claro no cambiaría nada, esta OK. Creo que el cambio se viene con el gran proyecto del hotel 5 estrellas. ;PROMOTOR
430;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Asistente Servicios Generales;Trabajador;menos de 1 año;Gerencia de Operaciones;Servicios Generales;4.9375;4.766666667;4.833333333;4.833333333;4.85;5;No solo te ven como trabajador, si no reconocen tu valor como persona y también en tu familia.;Talvez debería haber un reconocimiento para los hijos de los colaboradores que ocupen primeros puestos en sus estudios.;PROMOTOR
431;Masculino;de 39 a 45 años;Instituto superior o técnico completo;Asistente Servicios Generales;Trabajador;de 4 a 6 años;Gerencia de Operaciones;Servicios Generales;3.96875;4.266666667;4;4.111111111;3.95;5;Comenzando por la infraestructura, los beneficios que nos dan (económicamente) y las posibilidades de crecer como persona.;No trabajar de noche, pero es importante debido al rubro. Si hubiera la posibilidad de que los que ingresan a laborar temprano les den un desayuno (gratis) y a los de amanecida igual. Por lo demás todo bien.;PROMOTOR
432;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Asistente Servicios Generales;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Servicios Generales;2.8125;2.933333333;2.583333333;3.722222222;3.35;3.5;Lo único bueno es el buen trato que te dan algunos jefes.;Que al momento de subir de puesto es que sea justo y no subir por ser chismoso o maletero.;NEUTRO
433;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Asistente Servicios Generales;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Servicios Generales;4.375;4.366666667;4.166666667;4.666666667;4.45;5;La calidad de gente con la que trabajo.;Lo que mejoraría es en el área de Servicios Generales deberían dar uniforme para que el trabajador se sienta que es tratado por igual.;PROMOTOR
434;Masculino;22 años o menos;Secundaria o menor;Asistente Servicios Generales;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Servicios Generales;4.09375;4;4.208333333;4.333333333;4.15;5;El ambiente y el buen trato hacia los clientes como entre compañeros.;No indica;PROMOTOR
435;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Asistente Servicios Generales;Trabajador;de 7 a 9 años;Gerencia de Operaciones;Servicios Generales;4.34375;4.333333333;4.291666667;4.722222222;4.45;4.5;Su organización como empresa y el nuevo cambio hacia un clima de amistad, profesional y familiar que se quiere hacer en la empresa.;La igualdad para todas las áreas en todos los aspectos que requiere.;PROMOTOR
436;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Asistente Servicios Generales;Trabajador;de 4 a 6 años;Gerencia de Operaciones;Servicios Generales;4;3.933333333;4;3.833333333;3.65;3.5;No indica;No indica;NEUTRO
437;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Asistente Servicios Generales;Trabajador;menos de 1 año;Gerencia de Operaciones;Servicios Generales;4.5625;4.433333333;4.25;4.444444444;4.55;5;Pienso que todo va muy bien.;Más actividades deportivas y sociales pues así se llega a conocer y compartir momentos con otras áreas y personas que no son muy frecuentadas, por lo mismo más unión en las áreas para un solo objetivo.;PROMOTOR
438;Masculino;de 31 a 38 años;Secundaria o menor;Asistente Servicios Generales;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Servicios Generales;4.4375;3.766666667;4.25;4.388888889;3.85;5;Remuneración justa, gerentes involucrados en el funcionamiento de la empresa. Seguridad para los invitados y trabajadores. Tenemos un trato justo para todos en RRHH.;El material humano, si todos seríamos unidos en mi área.;PROMOTOR
439;Masculino;de 46 años o más;Instituto superior o técnico incompleto;Asistente Servicios Generales;Trabajador;de 10 a 15 años;Gerencia de Operaciones;Servicios Generales;3.65625;3.333333333;3.166666667;4.944444444;4.3;5;La magia y las ganas y el carisma de sus trabajadores.;Tratar a todos de igual manera.;PROMOTOR
440;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Asistente Servicios Generales;Trabajador;de 4 a 6 años;Gerencia de Operaciones;Servicios Generales;3.8125;3.7;3.541666667;3.888888889;3.65;4;Considero que es una empresa que va a crecer y mucho y se va a colocar en una de las mejores empresa. Siento que es un buen lugar para trabajar, pero hay que pulir muchas cosas que al final harán que todos seamos uno solo, un equipo y lograr buenos objetivos.;Creo quer habría que empezar por las jefaturas, ya que nosotros los trabajadores somos los que hacemos funcionar esto. Su consideración y valorar nuestro trabajo haría que nosotros trabajemos con más ganas y sentirnos que pertenecemos a esta empresa.;NEUTRO
